AO Voltage (V),Measured Voltage (V)
5.0,+138.30E-3
4.9,+138.29E-3
4.8,+138.31E-3
4.7,+138.32E-3
4.6,+138.28E-3
4.5,+138.26E-3
4.4,+138.26E-3
4.3,+138.30E-3
4.2,+138.30E-3
4.1,+138.26E-3
4.0,+138.24E-3
3.9,+138.27E-3
3.8,+138.30E-3
3.7,+138.29E-3
3.6,+138.26E-3
3.5,+138.24E-3
3.4,+138.27E-3
3.3,+138.30E-3
3.2,+138.29E-3
3.1,+138.25E-3
3.0,+138.24E-3
2.9,+138.24E-3
2.8,+138.30E-3
2.7,+138.29E-3
2.6,+138.26E-3
2.5,+138.24E-3
2.4,+138.26E-3
2.3,+138.29E-3
2.2,+138.29E-3
2.1,+138.23E-3
2.0,+138.22E-3
1.9,+138.24E-3
1.8,+138.29E-3
1.7,+138.27E-3
1.6,+138.25E-3
1.5,+138.23E-3
1.4,+138.24E-3
1.3,+138.29E-3
1.2,+138.28E-3
1.1,+138.25E-3
1.0,+138.23E-3
0.9,+138.25E-3
0.8,+138.27E-3
0.7,+138.26E-3
0.6,+138.23E-3
0.5,+138.22E-3
0.4,+138.25E-3
0.3,+138.28E-3
0.2,+138.26E-3
0.1,+138.18E-3
0.0,+138.06E-3
