J Voltage (V),Measured Voltage (V),Q State
0.0,+123.93E-3,L
0.05,+123.91E-3,L
0.1,+123.98E-3,L
0.15,+124.00E-3,L
0.2,+124.03E-3,L
0.25,+124.05E-3,L
0.3,+124.03E-3,L
0.35,+124.03E-3,L
0.4,+124.03E-3,L
0.45,+124.05E-3,L
0.5,+124.06E-3,L
0.55,+124.05E-3,L
0.6,+124.03E-3,L
0.65,+124.02E-3,L
0.7,+124.05E-3,L
0.75,+124.07E-3,L
0.8,+124.05E-3,L
0.85,+124.03E-3,L
0.9,+124.03E-3,L
0.95,+124.05E-3,L
1.0,+124.06E-3,L
1.05,+124.05E-3,L
1.1,+124.03E-3,L
1.15,+124.01E-3,L
1.2,+124.06E-3,L
1.25,+124.06E-3,L
1.3,+124.03E-3,L
1.35,+124.03E-3,L
1.4,+124.03E-3,L
1.45,+124.05E-3,L
1.5,+124.07E-3,L
